transaction_id,user_id,txn_date,txn_time,merchant_name,merchant_gstin,merchant_category,payment_mode,txn_amount,avg_monthly_amount,txn_location,state,is_business_account,gst_applicable,gst_rate,it_section,income_type,weekday,hour_of_day,previous_txn_gap_minutes,merchant_txn_frequency,monthly_total_amount,account_balance_after_txn,deviation_from_avg,anomaly_label
TXN202500017,U258,2025-08-23,08:18:36,Salary Store 164,43CGCOH8983W1ZQ,Salary,CreditCard,6029.35,13211.54,City8,Delhi,True,False,0.0,80D,Salary,Saturday,8,10,49,119913.49,593543.36,-7182.1900000000005,0
TXN202500018,U227,2025-02-25,07:00:08,Food Store 433,53ZWEYY7257R1ZH,Food,CreditCard,229225.68,69142.71,City50,Tamil Nadu,True,True,18.0,24B,Salary,Tuesday,7,93,23,388983.54,398679.31,160082.96999999997,1
TXN202500019,U537,2025-09-12,13:53:10,Electronics Store 326,88DYSKF4638P1ZZ,Electronics,NetBanking,82945.54,22547.7,City47,Rajasthan,False,True,18.0,24B,Salary,Friday,13,36,46,446872.87,531074.42,60397.84,1
TXN202500020,U569,2025-05-28,01:23:35,Rent Store 307,68XPOJL1597A1ZL,Rent,UPI,147812.59,53100.99,City27,West Bengal,True,False,0.0,24B,CapitalGain,Wednesday,1,81,37,471893.51,945746.94,94711.6,1
TXN202500021,U545,2025-05-07,22:23:58,Entertainment Store 154,64JYSGD9645V1ZH,Entertainment,Cash,5636.99,3358.89,City39,Punjab,False,True,18.0,24B,Salary,Wednesday,22,115,43,441568.49,970099.41,2278.1,0
TXN202500022,U113,2025-02-10,23:13:30,Banking Store 341,45QFNKL6795X1ZF,Banking,UPI,118311.2,99459.25,City42,Delhi,True,True,18.0,80D,Salary,Monday,23,18,1,98867.9,321153.46,18851.949999999997,0
TXN202500023,U449,2025-04-03,14:59:48,Banking Store 96,32RSSPD9220K1ZU,Banking,Cash,94738.71,32616.05,City38,Delhi,False,True,18.0,80D,Business,Thursday,14,8,12,396781.57,414483.62,62122.66,0
TXN202500024,U408,2025-03-28,00:53:13,Utilities Store 174,10FQCBD1790G1ZD,Utilities,NetBanking,116676.81,62456.18,City89,Gujarat,False,True,18.0,80C,Business,Friday,0,70,14,90958.9,53756.72,54220.63,1
TXN202500025,U438,2025-04-26,08:12:53,Utilities Store 243,11NEUOA5365K1ZY,Utilities,Cash,29777.73,21224.09,City34,Gujarat,True,True,18.0,24B,CapitalGain,Saturday,8,13,11,87094.09,14130.06,8553.64,0
TXN202500026,U406,2025-03-20,03:02:29,Rent Store 101,39CQQMY8073P1ZZ,Rent,UPI,114778.29,58697.97,City1,Rajasthan,False,False,0.0,80C,Business,Thursday,3,115,6,389198.02,723363.21,56080.31999999999,1
TXN202500027,U255,2025-09-12,08:41:33,Electronics Store 395,44JFEBQ5031G1ZA,Electronics,CreditCard,182596.93,82870.64,City12,Punjab,False,True,18.0,10A,CapitalGain,Friday,8,13,1,308542.83,83241.42,99726.29,0
TXN202500028,U595,2025-05-06,18:22:15,Entertainment Store 389,72WFOLG4566C1ZO,Entertainment,CreditCard,44739.08,46155.53,City58,Delhi,True,True,18.0,80C,Salary,Tuesday,18,111,45,177790.95,332657.41,-1416.449999999997,0
TXN202500029,U287,2025-08-27,12:07:12,Insurance Store 448,89HIFXQ5882Y1ZE,Insurance,UPI,27336.88,14371.76,City56,Maharashtra,False,True,18.0,80C,Business,Wednesday,12,60,34,339338.52,268836.74,12965.12,0
TXN202500030,U569,2025-09-03,10:06:22,Banking Store 214,68DCGPU8192T1ZI,Banking,NetBanking,83385.99,31742.01,City90,Telangana,False,True,18.0,80C,Business,Wednesday,10,29,46,193218.1,443359.6,51643.98000000001,0
TXN202500031,U405,2025-09-10,02:37:18,Salary Store 173,41TJYUA2905R1ZZ,Salary,Cash,112311.32,23761.55,City2,Gujarat,True,False,0.0,80C,CapitalGain,Wednesday,2,33,11,58561.2,352452.09,88549.77,1
TXN202500032,U264,2025-03-09,09:27:51,Food Store 12,99GTRIA9471X1ZY,Food,Cash,167908.09,45333.23,City84,Tamil Nadu,False,True,18.0,80D,CapitalGain,Sunday,9,71,30,93069.06,592444.74,122574.85999999999,1
TXN202500033,U284,2025-06-06,06:29:06,Electronics Store 364,42KAGNI5681Q1ZD,Electronics,Cash,62796.63,36201.67,City64,Gujarat,False,True,18.0,10A,CapitalGain,Friday,6,11,47,261597.11,746928.47,26594.96,0
TXN202500034,U130,2025-03-08,14:44:13,Utilities Store 170,75NRJRB1990O1ZP,Utilities,Cash,3011.56,7482.83,City41,West Bengal,True,True,18.0,80C,Business,Saturday,14,111,34,195372.56,211840.87,-4471.27,0
TXN202500035,U542,2025-05-16,19:53:38,Salary Store 172,88VMYDN1544E1ZO,Salary,UPI,215075.79,50012.84,City99,Delhi,True,False,0.0,10A,CapitalGain,Friday,19,66,39,421528.51,248145.93,165062.95,1
TXN202500036,U589,2025-01-24,07:20:48,Food Store 340,13YTBLX9984T1ZN,Food,UPI,166415.8,97342.63,City89,Punjab,False,True,18.0,80C,Business,Friday,7,51,8,129394.75,531513.67,69073.16999999998,0
TXN202500037,U548,2025-01-24,21:28:14,Entertainment Store 198,25TYWKW2600J1ZU,Entertainment,NetBanking,130654.8,66411.86,City34,Telangana,True,True,18.0,80D,Business,Friday,21,73,22,255069.7,763500.76,64242.94,0
TXN202500038,U237,2025-09-12,02:39:19,Travel Store 420,62QCZDB3309Q1ZI,Travel,UPI,101133.72,36925.2,City29,Delhi,True,True,18.0,10A,Business,Friday,2,49,40,222611.93,751763.71,64208.520000000004,1
TXN202500039,U342,2025-02-10,17:27:17,Travel Store 102,44VFLEA4217F1ZO,Travel,NetBanking,61615.59,86703.69,City86,Kerala,False,True,18.0,80D,Salary,Monday,17,61,48,41890.86,288161.92,-25088.100000000006,0
TXN202500040,U358,2025-06-21,22:55:41,Salary Store 151,49CGQGO9078P1ZN,Salary,UPI,30527.38,51136.02,City30,Tamil Nadu,False,False,0.0,10A,Business,Saturday,22,32,45,368438.2,315370.79,-20608.639999999996,0
TXN202500041,U140,2025-06-03,14:32:55,Utilities Store 486,46DVHJT3889Y1ZE,Utilities,CreditCard,85941.05,21532.09,City61,Delhi,True,True,18.0,80D,Salary,Tuesday,14,69,8,163817.08,558031.01,64408.96000000001,1
TXN202500042,U558,2025-03-18,03:00:24,Travel Store 407,26ARAFK8739Q1ZW,Travel,UPI,156247.84,39363.37,City68,Tamil Nadu,False,True,18.0,80D,Business,Tuesday,3,44,7,371181.75,89507.77,116884.47,1
TXN202500043,U229,2025-08-17,15:58:41,Utilities Store 120,36TXSLU5889K1ZE,Utilities,UPI,30508.83,6472.46,City1,Delhi,True,True,18.0,24B,Salary,Sunday,15,105,32,414090.03,341732.54,24036.370000000003,1
TXN202500044,U470,2025-03-06,08:08:10,Electronics Store 111,43PWKFL3416A1ZL,Electronics,CreditCard,255394.6,52372.87,City37,Punjab,True,True,18.0,80D,CapitalGain,Thursday,8,67,50,285435.21,66308.26,203021.73,1
TXN202500045,U473,2025-08-25,14:55:05,Food Store 359,50RAVBO4010K1ZH,Food,NetBanking,186059.32,88643.79,City62,Delhi,True,True,18.0,80C,CapitalGain,Monday,14,74,13,461428.85,847963.42,97415.53000000001,0
TXN202500046,U403,2025-09-01,14:33:54,Rent Store 475,45UJNKS3640E1ZQ,Rent,UPI,110467.49,29533.82,City38,Tamil Nadu,True,False,0.0,80D,Salary,Monday,14,37,28,98372.73,313066.32,80933.67000000001,1
TXN202500047,U404,2025-05-12,14:55:44,Travel Store 181,24OVFYO2959T1ZQ,Travel,Cash,306201.48,90452.49,City88,Rajasthan,False,True,18.0,24B,CapitalGain,Monday,14,116,12,239881.91,288050.51,215748.99,1
TXN202500048,U393,2025-07-30,04:12:26,Entertainment Store 396,30OFYNG7768Q1ZQ,Entertainment,NetBanking,42573.71,83906.43,City68,Tamil Nadu,True,True,18.0,10A,CapitalGain,Wednesday,4,94,50,404969.7,375399.47,-41332.719999999994,1
TXN202500049,U545,2025-09-03,19:52:31,Groceries Store 372,36OSPHZ4982Z1ZQ,Groceries,Cash,76331.5,54420.72,City9,Tamil Nadu,True,True,18.0,80C,CapitalGain,Wednesday,19,57,10,155861.2,786067.43,21910.78,0
TXN202500050,U400,2025-06-30,03:10:18,Food Store 330,84PDIXO5703C1ZG,Food,Cash,19075.95,32684.13,City31,Tamil Nadu,True,True,18.0,80C,CapitalGain,Monday,3,41,1,392683.98,270867.91,-13608.18,1
TXN202500051,U238,2025-03-10,19:09:29,Food Store 145,99PQLPJ5537F1ZJ,Food,CreditCard,128124.44,34495.88,City30,Delhi,True,True,18.0,10A,CapitalGain,Monday,19,90,25,29793.56,679536.35,93628.56,1
TXN202500052,U289,2025-06-28,09:51:03,Insurance Store 416,53NPQAW5867A1ZL,Insurance,UPI,227057.87,68806.35,City93,Gujarat,False,True,18.0,10A,CapitalGain,Saturday,9,111,21,335972.58,804584.39,158251.52,1
TXN202500053,U494,2025-07-02,19:45:23,Banking Store 463,89CJKUM5240F1ZA,Banking,UPI,93190.96,78613.12,City94,Maharashtra,False,True,18.0,80D,CapitalGain,Wednesday,19,46,38,484186.08,426340.66,14577.840000000011,0
TXN202500054,U577,2025-03-31,23:19:31,Utilities Store 433,43DNFOQ9446O1ZC,Utilities,UPI,6205.2,5713.19,City11,West Bengal,True,True,18.0,80C,Salary,Monday,23,111,19,315331.07,66527.52,492.0100000000002,0
TXN202500055,U570,2025-01-07,20:46:44,Salary Store 435,42NMBVA1879I1ZM,Salary,Cash,25689.31,27857.96,City88,Karnataka,False,False,0.0,24B,Business,Tuesday,20,13,13,67415.15,914647.49,-2168.649999999998,0
TXN202500056,U452,2025-05-12,09:14:57,Utilities Store 332,55BVWNU5372V1ZS,Utilities,NetBanking,178045.5,72827.15,City48,Telangana,True,True,18.0,24B,Salary,Monday,9,44,42,153804.24,683751.61,105218.35,0
TXN202500057,U532,2025-03-04,15:31:38,Utilities Store 11,46MSYGP6307W1ZV,Utilities,NetBanking,39750.69,35482.65,City3,West Bengal,True,True,18.0,24B,Business,Tuesday,15,20,30,116545.71,629207.98,4268.040000000001,0
TXN202500058,U227,2025-02-09,07:41:10,Electronics Store 380,19HVHLE1202D1ZQ,Electronics,Cash,142290.57,52367.08,City29,West Bengal,True,True,18.0,80C,Salary,Sunday,7,24,30,374432.56,914899.86,89923.49,0
TXN202500059,U437,2025-01-10,05:31:18,Salary Store 269,48OSQGP5520J1ZL,Salary,CreditCard,2545.44,5957.95,City5,Tamil Nadu,False,False,0.0,80D,Business,Friday,5,94,24,131253.66,930324.28,-3412.5099999999998,1
TXN202500060,U324,2025-08-11,22:16:15,Groceries Store 415,52QRIIE1764F1ZW,Groceries,CreditCard,300360.71,87716.01,City12,Tamil Nadu,True,True,18.0,80C,Salary,Monday,22,28,33,490178.8,289424.6,212644.7,1
TXN202500061,U104,2025-07-10,11:30:31,Banking Store 455,13YSPNI3703C1ZI,Banking,Cash,142360.27,69098.05,City66,Punjab,True,True,18.0,80C,CapitalGain,Thursday,11,15,40,253101.85,265805.98,73262.21999999999,0
TXN202500062,U477,2025-09-05,03:51:21,Rent Store 434,19BOWFT5715J1ZX,Rent,NetBanking,48883.73,26652.43,City4,West Bengal,False,False,0.0,10A,Business,Friday,3,48,34,206238.64,207077.1,22231.300000000003,1
TXN202500063,U477,2025-05-21,17:06:26,Rent Store 192,60YJVFW7670D1ZP,Rent,UPI,21703.03,50778.75,City50,Tamil Nadu,True,False,0.0,24B,Salary,Wednesday,17,16,27,465265.74,313648.63,-29075.72,0
TXN202500064,U397,2025-01-09,02:16:12,Insurance Store 356,85CKERZ8131X1ZX,Insurance,NetBanking,239465.78,76414.9,City9,Rajasthan,True,True,18.0,10A,Salary,Thursday,2,28,15,261837.41,292735.9,163050.88,1
TXN202500065,U262,2025-05-30,02:00:22,Insurance Store 387,93VHYCH1432K1ZM,Insurance,UPI,78726.76,72555.6,City13,Delhi,True,True,18.0,10A,CapitalGain,Friday,2,94,12,426753.25,599051.67,6171.159999999989,1
TXN202500066,U241,2025-07-15,08:37:25,Utilities Store 264,62ULMYM8191X1ZE,Utilities,Cash,85407.18,20648.08,City99,Telangana,True,True,18.0,10A,Business,Tuesday,8,51,7,347283.56,617629.49,64759.09999999999,1
TXN202500067,U203,2025-07-15,12:45:19,Utilities Store 27,85LHSNT3158Y1ZM,Utilities,Cash,218243.39,46110.4,City36,Tamil Nadu,False,True,18.0,24B,CapitalGain,Tuesday,12,16,40,374896.26,819219.2,172132.99000000002,1
TXN202500068,U546,2025-08-30,05:07:26,Food Store 311,70KAZXP2575I1ZH,Food,CreditCard,7502.65,4738.35,City66,Maharashtra,True,True,18.0,10A,Salary,Saturday,5,77,25,3084.35,697449.38,2764.2999999999993,1
TXN202500069,U412,2025-04-24,20:52:44,Entertainment Store 67,74IDSUH6888X1ZK,Entertainment,CreditCard,16787.43,20607.32,City22,Punjab,True,True,18.0,24B,CapitalGain,Thursday,20,98,6,403081.56,563892.31,-3819.8899999999994,0
TXN202500070,U581,2025-01-26,12:31:46,Groceries Store 373,95PXYVY4699X1ZI,Groceries,UPI,314470.35,69426.71,City37,Kerala,True,True,18.0,80D,CapitalGain,Sunday,12,25,21,35976.13,40782.78,245043.63999999996,1
TXN202500071,U335,2025-02-23,15:59:24,Salary Store 322,58LIHIY8005X1ZE,Salary,NetBanking,47461.34,20935.8,City33,Gujarat,False,False,0.0,24B,Business,Sunday,15,102,12,300404.53,922995.16,26525.539999999997,0
TXN202500072,U561,2025-08-01,12:08:11,Groceries Store 471,62DMSBI2054F1ZQ,Groceries,Cash,276539.2,67890.94,City53,Punjab,True,True,18.0,80C,CapitalGain,Friday,12,108,45,433702.14,745478.64,208648.26,1
TXN202500073,U304,2025-02-23,21:27:40,Salary Store 471,38IXXSY5058D1ZQ,Salary,Cash,150518.06,48942.92,City29,Gujarat,True,False,0.0,24B,Business,Sunday,21,54,18,467217.42,38055.18,101575.14,1
TXN202500074,U584,2025-02-04,18:34:25,Insurance Store 399,49GYRKJ2413K1ZE,Insurance,NetBanking,14387.58,16255.08,City87,Kerala,True,True,18.0,24B,CapitalGain,Tuesday,18,71,36,475793.89,475297.52,-1867.5,0
TXN202500075,U310,2025-09-14,21:12:33,Utilities Store 269,26EHHDS8870L1ZT,Utilities,CreditCard,328460.36,91431.23,City11,Kerala,True,True,18.0,80C,Business,Sunday,21,68,48,106213.45,175364.33,237029.13,1
TXN202500076,U283,2025-09-11,06:55:51,Travel Store 87,14XZJUI8083T1ZQ,Travel,NetBanking,5497.09,2935.13,City64,Kerala,True,True,18.0,80D,Salary,Thursday,6,30,9,287404.73,339611.36,2561.96,0
TXN202500077,U294,2025-05-14,12:45:43,Banking Store 385,31BVPXC8337Z1ZK,Banking,NetBanking,2488.05,5884.28,City74,Tamil Nadu,True,True,18.0,24B,Salary,Wednesday,12,11,1,195581.7,738807.29,-3396.2299999999996,0
TXN202500078,U295,2025-06-20,23:47:25,Utilities Store 282,12KIUYX8012C1ZM,Utilities,CreditCard,423176.49,97620.53,City59,Gujarat,False,True,18.0,24B,Salary,Friday,23,86,13,471941.09,123016.07,325555.95999999996,1
TXN202500079,U371,2025-06-06,05:20:19,Salary Store 496,97KXBTX3307Z1ZO,Salary,Cash,348913.55,91058.77,City88,Maharashtra,True,False,0.0,80D,CapitalGain,Friday,5,80,16,80196.3,494835.96,257854.77999999997,1
TXN202500080,U143,2025-03-29,23:02:58,Utilities Store 162,51WLYBM5272G1ZF,Utilities,CreditCard,22610.96,70367.11,City22,Telangana,True,True,18.0,24B,Salary,Saturday,23,104,10,287397.63,456414.37,-47756.15,0
TXN202500081,U474,2025-01-07,04:34:27,Banking Store 121,92PNSHU5337I1ZM,Banking,NetBanking,147735.48,54848.48,City70,Karnataka,True,True,18.0,80C,Business,Tuesday,4,87,28,429737.59,144747.39,92887.0,1
TXN202500082,U252,2025-05-10,10:20:23,Rent Store 499,27MEOLA6661O1ZS,Rent,UPI,24086.03,72389.33,City32,Karnataka,True,False,0.0,80C,Business,Saturday,10,118,37,255991.67,608627.5,-48303.3,0
TXN202500083,U165,2025-01-13,03:34:18,Insurance Store 499,88NLWMB6300O1ZH,Insurance,Cash,255053.83,96053.21,City38,Rajasthan,False,True,18.0,80D,Business,Monday,3,89,46,276570.3,385667.34,159000.62,1
TXN202500084,U238,2025-07-18,09:01:17,Travel Store 23,96NGQQT4085J1ZU,Travel,Cash,451303.86,93993.28,City93,Delhi,True,True,18.0,80C,CapitalGain,Friday,9,64,30,291622.68,158019.68,357310.57999999996,1
TXN202500085,U308,2025-01-31,19:11:22,Salary Store 62,47TFNPR1173A1ZB,Salary,UPI,222342.94,63955.0,City37,Delhi,False,False,0.0,80C,CapitalGain,Friday,19,24,43,400903.13,9188.0,158387.94,1
TXN202500086,U497,2025-03-16,03:15:46,Banking Store 46,74WDAPW6712F1ZU,Banking,UPI,34810.32,7988.06,City43,Maharashtra,True,True,18.0,10A,CapitalGain,Sunday,3,67,36,378492.5,691383.7,26822.26,1
TXN202500087,U419,2025-08-17,07:32:01,Entertainment Store 284,80BXKTJ2087U1ZO,Entertainment,UPI,248146.02,57764.51,City97,Delhi,False,True,18.0,80C,Business,Sunday,7,21,19,51110.03,530195.08,190381.50999999998,1
TXN202500088,U170,2025-01-10,21:02:45,Banking Store 267,25TLEST2886R1ZF,Banking,NetBanking,50317.89,84454.92,City92,Karnataka,False,True,18.0,24B,CapitalGain,Friday,21,5,4,260766.46,446820.4,-34137.03,0
TXN202500089,U372,2025-03-01,04:22:26,Banking Store 406,63KJXCV6772G1ZE,Banking,Cash,84667.96,43604.45,City72,Karnataka,True,True,18.0,80C,Salary,Saturday,4,107,40,151382.16,381527.22,41063.51000000001,1
TXN202500090,U361,2025-08-07,23:43:52,Insurance Store 372,10EVAOH7161P1ZX,Insurance,CreditCard,293365.71,97828.19,City11,Delhi,True,True,18.0,24B,Business,Thursday,23,64,2,329479.65,272745.08,195537.52000000002,0
TXN202500091,U177,2025-08-22,06:14:01,Rent Store 300,55IPVPP2532H1ZZ,Rent,UPI,274317.09,85915.02,City9,Maharashtra,False,False,0.0,10A,CapitalGain,Friday,6,52,41,171884.78,922611.63,188402.07,1
TXN202500092,U578,2025-09-13,19:44:21,Utilities Store 378,36ILPBL9519B1ZI,Utilities,NetBanking,132662.93,63136.11,City72,West Bengal,True,True,18.0,80D,Business,Saturday,19,57,13,391503.8,536190.06,69526.81999999999,0
TXN202500093,U529,2025-06-19,04:55:11,Food Store 318,11VPPSW9184Y1ZO,Food,UPI,169544.15,92171.52,City86,Karnataka,True,True,18.0,24B,Salary,Thursday,4,3,37,169610.11,924125.59,77372.62999999999,1
TXN202500094,U452,2025-07-30,00:47:03,Electronics Store 170,93EYQRR3193Z1ZT,Electronics,NetBanking,138282.84,92251.99,City65,Kerala,True,True,18.0,24B,Salary,Wednesday,0,44,19,61414.23,935849.65,46030.84999999999,1
TXN202500095,U135,2025-05-22,12:17:54,Rent Store 254,90XSKCJ9651Z1ZQ,Rent,UPI,34011.28,78100.99,City4,West Bengal,False,False,0.0,80D,Business,Thursday,12,78,13,339669.26,665480.63,-44089.71000000001,0
TXN202500096,U382,2025-09-28,23:03:57,Food Store 272,61YRDUA7762J1ZX,Food,UPI,105069.91,80880.83,City72,Gujarat,False,True,18.0,80C,Business,Sunday,23,89,35,394298.7,248134.27,24189.08,0
TXN202500097,U108,2025-04-10,17:12:09,Banking Store 258,61VJWTD2615D1ZS,Banking,CreditCard,163192.74,86799.42,City51,Maharashtra,False,True,18.0,24B,CapitalGain,Thursday,17,99,11,35761.1,858332.13,76393.31999999999,0
TXN202500098,U132,2025-09-11,12:16:18,Utilities Store 400,45FAWAB6144R1ZV,Utilities,NetBanking,58278.81,50587.0,City34,Maharashtra,False,True,18.0,80C,Business,Thursday,12,26,41,158092.59,603301.42,7691.809999999998,0
TXN202500099,U469,2025-05-11,04:36:57,Rent Store 299,64CCKDU3308Z1ZJ,Rent,NetBanking,29926.1,42539.55,City68,Tamil Nadu,True,False,0.0,10A,CapitalGain,Sunday,4,65,6,120337.93,275061.65,-12613.450000000004,1
TXN202500100,U546,2025-03-21,22:04:39,Salary Store 153,72WOPSE3353R1ZU,Salary,CreditCard,25226.28,7156.9,City27,Punjab,True,False,0.0,10A,Business,Friday,22,44,25,242565.18,516034.98,18069.379999999997,1
TXN202500101,U159,2025-05-29,13:02:41,Insurance Store 142,33BZMXS9935W1ZP,Insurance,Cash,317331.14,69866.35,City45,Rajasthan,True,True,18.0,10A,Business,Thursday,13,14,22,417748.88,645223.63,247464.79,1
TXN202500102,U398,2025-09-22,18:39:59,Utilities Store 125,98PSUTR8227G1ZB,Utilities,CreditCard,322758.07,74919.65,City79,Tamil Nadu,False,True,18.0,10A,Business,Monday,18,64,9,485114.57,650114.47,247838.42,1
TXN202500103,U375,2025-04-11,22:10:57,Rent Store 469,38CXVJE1857C1ZP,Rent,UPI,101909.94,39162.52,City33,Telangana,True,False,0.0,80C,Salary,Friday,22,56,33,140535.91,355602.97,62747.420000000006,0
TXN202500104,U531,2025-09-05,13:01:28,Travel Store 493,17VTLYS1627O1ZN,Travel,Cash,32435.22,69861.46,City4,Karnataka,True,True,18.0,80D,CapitalGain,Friday,13,111,23,493320.84,855199.52,-37426.240000000005,0
TXN202500105,U236,2025-06-10,20:24:40,Utilities Store 9,17XROEY9104S1ZN,Utilities,CreditCard,164800.5,42424.45,City32,Rajasthan,True,True,18.0,80C,CapitalGain,Tuesday,20,114,36,255650.79,745940.52,122376.05,1
TXN202500106,U366,2025-09-13,20:30:59,Groceries Store 414,45RJTIJ9734R1ZZ,Groceries,UPI,68231.55,17985.01,City75,Telangana,True,True,18.0,24B,Business,Saturday,20,105,39,436216.01,689891.11,50246.54000000001,1
TXN202500107,U296,2025-03-03,20:40:42,Food Store 111,69JETFS9651F1ZV,Food,CreditCard,119046.36,64592.66,City58,Maharashtra,True,True,18.0,80C,CapitalGain,Monday,20,38,3,379140.22,856099.79,54453.7,0
TXN202500108,U490,2025-07-24,06:20:58,Electronics Store 471,42RWJEB7948Q1ZG,Electronics,UPI,61583.87,39224.12,City30,Gujarat,False,True,18.0,24B,Business,Thursday,6,35,42,472399.0,891904.84,22359.75,0
TXN202500109,U506,2025-01-12,21:27:09,Banking Store 273,33LUPPG1528L1ZN,Banking,UPI,17167.24,23799.48,City89,Karnataka,True,True,18.0,10A,CapitalGain,Sunday,21,79,26,416698.89,731130.8,-6632.239999999998,0
TXN202500110,U487,2025-02-06,18:38:09,Insurance Store 94,42OHQOU3793E1ZM,Insurance,CreditCard,17428.83,4609.64,City70,Kerala,False,True,18.0,10A,CapitalGain,Thursday,18,102,20,153654.8,300765.88,12819.190000000002,1
TXN202500111,U402,2025-04-16,23:42:07,Food Store 452,91SZYGQ6182F1ZN,Food,CreditCard,229958.87,60515.38,City57,Maharashtra,True,True,18.0,80C,Salary,Wednesday,23,101,2,214246.77,133339.69,169443.49,1
TXN202500112,U472,2025-01-07,06:51:18,Insurance Store 112,64EGMUC1809R1ZZ,Insurance,UPI,115814.31,83101.38,City31,Rajasthan,True,True,18.0,10A,CapitalGain,Tuesday,6,109,26,57932.74,713477.53,32712.929999999993,0
TXN202500113,U307,2025-08-05,07:02:44,Entertainment Store 120,86WPMCH5552M1ZT,Entertainment,Cash,205209.74,48100.38,City97,Delhi,True,True,18.0,10A,Salary,Tuesday,7,74,8,252967.13,465443.9,157109.36,1
TXN202500114,U324,2025-04-25,18:07:14,Electronics Store 9,32QGEAR7093F1ZJ,Electronics,CreditCard,269330.53,81509.54,City98,Gujarat,False,True,18.0,80D,Business,Friday,18,99,2,434019.55,97568.57,187820.99000000005,1
