total_income,salary_income,business_income,capital_gains,standard_deduction,hra_exemption,section_80c,section_80d,total_deductions,taxable_income,fiscal_year,true_tax
37910.74,23234.36,14676.38,0.0,50000,9293.74,132992.57,14471.62,206757.94,0.0,2024,0.0
34869.1,34869.1,0.0,0.0,50000,13947.64,88624.99,933.7,153506.33,0.0,2022,0.0
143080.18,143080.18,0.0,0.0,50000,57232.07,93433.57,1292.04,201957.69,0.0,2024,0.0
263328.28,261641.63,1686.66,0.0,50000,100000.0,27650.05,10707.86,188357.91,74970.37,2022,0.0
26638.66,17342.88,5368.18,3927.6,50000,6937.15,98566.7,18250.98,173754.83,0.0,2024,0.0
33806.89,33369.81,0.0,437.08,50000,13347.92,6900.4,21386.51,91634.83,0.0,2023,0.0
267695.27,267695.27,0.0,0.0,50000,100000.0,69701.07,0.0,219701.07,47994.19,2023,0.0
91097.64,91097.64,0.0,0.0,50000,36439.06,0.0,0.0,86439.06,4658.59,2024,0.0
62863.27,62863.27,0.0,0.0,50000,25145.31,19275.05,0.0,94420.36,0.0,2022,0.0
148597.09,148597.09,0.0,0.0,50000,59438.84,10404.2,455.55,120298.58,28298.52,2022,0.0
36382.4,36382.4,0.0,0.0,50000,14552.96,51093.69,12400.94,128047.58,0.0,2024,0.0
173022.57,173022.57,0.0,0.0,50000,69209.03,0.0,4435.99,123645.02,49377.55,2022,0.0
103803.89,97567.16,0.0,6236.73,50000,39026.86,0.0,0.0,89026.86,14777.03,2022,0.0
172251.14,149566.63,22684.51,0.0,50000,59826.65,74484.18,7440.88,191751.71,0.0,2024,0.0
54196.94,54196.94,0.0,0.0,50000,21678.78,67266.83,8216.61,147162.22,0.0,2024,0.0
117645.53,112795.32,0.0,4850.21,50000,45118.13,0.0,0.0,95118.13,22527.4,2022,0.0
140729.4,97838.46,41334.67,1556.27,50000,39135.39,0.0,0.0,89135.39,51594.02,2022,0.0
16893.38,16893.38,0.0,0.0,50000,6757.35,0.0,22692.34,79449.69,0.0,2022,0.0
76639.01,35193.55,41445.46,0.0,50000,14077.42,63633.3,0.0,127710.72,0.0,2022,0.0
26848.8,26848.8,0.0,0.0,50000,10739.52,0.0,0.0,60739.52,0.0,2024,0.0
107639.04,107639.04,0.0,0.0,50000,43055.62,42856.81,0.0,135912.43,0.0,2022,0.0
69208.91,60480.36,4599.47,4129.08,50000,24192.14,44174.09,0.0,118366.23,0.0,2024,0.0
210032.79,202939.66,7093.13,0.0,50000,81175.86,28218.17,8833.81,168227.84,41804.94,2023,0.0
33242.94,31615.79,1627.15,0.0,50000,12646.31,41964.53,15069.55,119680.39,0.0,2024,0.0
43354.08,43354.08,0.0,0.0,50000,17341.63,0.0,0.0,67341.63,0.0,2023,0.0
78189.21,53860.92,0.0,24328.29,50000,21544.37,147792.91,18739.46,238076.73,0.0,2022,0.0
54631.62,54631.62,0.0,0.0,50000,21852.65,129708.36,0.0,201561.0,0.0,2024,0.0
77313.98,77313.98,0.0,0.0,50000,30925.59,0.0,6027.12,86952.71,0.0,2022,0.0
20032.83,20032.83,0.0,0.0,50000,8013.13,17033.64,0.0,75046.77,0.0,2023,0.0
166104.2,166104.2,0.0,0.0,50000,66441.68,0.0,19795.45,136237.13,29867.08,2022,0.0
100338.1,100338.1,0.0,0.0,50000,40135.24,2181.7,14747.94,107064.88,0.0,2023,0.0
29885.67,29885.67,0.0,0.0,50000,11954.27,136570.69,13090.06,211615.02,0.0,2022,0.0
80244.99,59173.28,21071.71,0.0,50000,23669.31,0.0,8218.79,81888.1,0.0,2024,0.0
102307.48,102307.48,0.0,0.0,50000,40922.99,60045.07,0.0,150968.06,0.0,2022,0.0
28862.47,28862.47,0.0,0.0,50000,11544.99,25847.98,1021.72,88414.68,0.0,2022,0.0
92805.57,31751.71,61053.86,0.0,50000,12700.68,0.0,8252.49,70953.17,21852.4,2024,0.0
34208.16,34208.16,0.0,0.0,50000,13683.27,41531.65,0.0,105214.91,0.0,2022,0.0
69044.24,69044.24,0.0,0.0,50000,27617.7,113993.31,0.0,191611.01,0.0,2023,0.0
118316.87,118316.87,0.0,0.0,50000,47326.75,16075.8,13315.43,126717.98,0.0,2024,0.0
80237.64,75730.24,4507.4,0.0,50000,30292.1,0.0,13383.39,93675.48,0.0,2022,0.0
23049.33,23049.33,0.0,0.0,50000,9219.73,13038.04,0.0,72257.77,0.0,2022,0.0
92145.86,92145.86,0.0,0.0,50000,36858.34,134947.11,0.0,221805.45,0.0,2023,0.0
16148.86,16148.86,0.0,0.0,50000,6459.54,22928.87,4017.03,83405.45,0.0,2024,0.0
54801.01,29995.64,21099.0,3706.36,50000,11998.26,0.0,18072.4,80070.66,0.0,2024,0.0
116477.63,116477.63,0.0,0.0,50000,46591.05,0.0,8091.98,104683.03,11794.6,2022,0.0
6682.42,6682.42,0.0,0.0,50000,2672.97,0.0,12652.6,65325.57,0.0,2024,0.0
92241.15,87681.17,2885.65,1674.33,50000,35072.47,0.0,20246.86,105319.33,0.0,2022,0.0
166859.38,24251.52,142607.86,0.0,50000,9700.61,127609.12,0.0,187309.73,0.0,2023,0.0
81777.57,80572.82,0.0,1204.74,50000,32229.13,111168.1,0.0,193397.23,0.0,2022,0.0
65577.21,65577.21,0.0,0.0,50000,26230.89,0.0,5892.29,82123.18,0.0,2022,0.0
72748.62,72748.62,0.0,0.0,50000,29099.45,0.0,9423.61,88523.06,0.0,2024,0.0
45197.15,45197.15,0.0,0.0,50000,18078.86,58722.32,0.0,126801.17,0.0,2024,0.0
188336.5,188336.5,0.0,0.0,50000,75334.6,119103.78,0.0,244438.38,0.0,2022,0.0
66123.49,63936.39,2187.1,0.0,50000,25574.55,85483.45,0.0,161058.01,0.0,2024,0.0
43259.85,43259.85,0.0,0.0,50000,17303.94,90593.68,0.0,157897.62,0.0,2022,0.0
9315.7,7643.84,0.0,1671.86,50000,3057.53,84826.25,0.0,137883.79,0.0,2023,0.0
79740.87,79740.87,0.0,0.0,50000,31896.35,69300.87,0.0,151197.22,0.0,2023,0.0
47291.42,24333.49,22957.93,0.0,50000,9733.39,137812.58,0.0,197545.97,0.0,2022,0.0
31812.69,31812.69,0.0,0.0,50000,12725.07,110466.64,0.0,173191.71,0.0,2023,0.0
40717.04,36245.3,4471.74,0.0,50000,14498.12,46716.64,15197.36,126412.12,0.0,2023,0.0
35117.52,34464.34,0.0,653.17,50000,13785.74,137978.34,8673.83,210437.91,0.0,2023,0.0
88672.84,68123.85,20548.99,0.0,50000,27249.54,86644.79,846.98,164741.31,0.0,2024,0.0
34897.71,34249.5,0.0,648.21,50000,13699.8,0.0,10365.6,74065.4,0.0,2024,0.0
63687.28,59907.64,0.0,3779.64,50000,23963.06,0.0,22451.36,96414.41,0.0,2022,0.0
38658.15,38658.15,0.0,0.0,50000,15463.26,44106.7,0.0,109569.96,0.0,2022,0.0
284869.39,284869.39,0.0,0.0,50000,100000.0,27289.22,0.0,177289.22,107580.17,2023,0.0
91327.92,91327.92,0.0,0.0,50000,36531.17,0.0,0.0,86531.17,4796.75,2024,0.0
22088.85,10514.82,9122.46,2451.57,50000,4205.93,35727.42,6079.3,96012.65,0.0,2024,0.0
85426.42,85426.42,0.0,0.0,50000,34170.57,60958.85,2173.13,147302.54,0.0,2022,0.0
122834.65,110850.27,11984.38,0.0,50000,44340.11,0.0,0.0,94340.11,28494.54,2024,0.0
34082.01,34082.01,0.0,0.0,50000,13632.81,61411.75,0.0,125044.55,0.0,2023,0.0
44641.6,44641.6,0.0,0.0,50000,17856.64,84866.49,0.0,152723.13,0.0,2024,0.0
86523.71,45772.01,40751.71,0.0,50000,18308.8,95021.73,3483.9,166814.44,0.0,2024,0.0
64903.31,64903.31,0.0,0.0,50000,25961.32,122258.16,1679.38,199898.87,0.0,2024,0.0
12482.04,7611.59,4870.45,0.0,50000,3044.64,0.0,15827.45,68872.09,0.0,2022,0.0
14166.79,13729.48,0.0,437.31,50000,5491.79,110705.04,15078.8,181275.64,0.0,2024,0.0
19431.9,19431.9,0.0,0.0,50000,7772.76,84960.7,16591.78,159325.23,0.0,2022,0.0
70942.05,69094.43,1847.61,0.0,50000,27637.77,0.0,0.0,77637.77,0.0,2024,0.0
156467.71,150154.29,3484.88,2828.54,50000,60061.72,65224.1,20477.56,195763.38,0.0,2022,0.0
131739.03,131739.03,0.0,0.0,50000,52695.61,78195.1,23954.27,204844.98,0.0,2024,0.0
115077.24,115077.24,0.0,0.0,50000,46030.9,0.0,12235.62,108266.52,6810.72,2024,0.0
51311.41,47731.54,0.0,3579.87,50000,19092.62,149903.02,0.0,218995.64,0.0,2024,0.0
47877.49,47877.49,0.0,0.0,50000,19151.0,0.0,0.0,69151.0,0.0,2023,0.0
144553.0,103280.16,41272.85,0.0,50000,41312.06,54704.59,0.0,146016.65,0.0,2022,0.0
71518.18,71518.18,0.0,0.0,50000,28607.27,47293.55,0.0,125900.82,0.0,2022,0.0
160192.11,160192.11,0.0,0.0,50000,64076.84,0.0,11548.57,125625.41,34566.69,2023,0.0
105949.69,105949.69,0.0,0.0,50000,42379.88,115078.24,11996.89,219455.01,0.0,2022,0.0
23562.18,16575.36,0.0,6986.82,50000,6630.15,78377.88,0.0,135008.02,0.0,2023,0.0
53758.75,53758.75,0.0,0.0,50000,21503.5,41589.85,0.0,113093.35,0.0,2024,0.0
48045.36,48045.36,0.0,0.0,50000,19218.14,62637.12,0.0,131855.26,0.0,2022,0.0
102729.6,102729.6,0.0,0.0,50000,41091.84,60237.04,0.0,151328.88,0.0,2023,0.0
45584.47,40016.07,4354.48,1213.92,50000,16006.43,0.0,1446.07,67452.5,0.0,2023,0.0
23415.27,23415.27,0.0,0.0,50000,9366.11,0.0,15573.43,74939.54,0.0,2024,0.0
41071.59,29652.54,11419.05,0.0,50000,11861.02,13048.01,9317.21,84226.24,0.0,2024,0.0
128113.82,58308.22,69805.59,0.0,50000,23323.29,11419.63,0.0,84742.92,43370.9,2022,0.0
29846.46,29846.46,0.0,0.0,50000,11938.58,81566.84,0.0,143505.42,0.0,2022,0.0
243840.84,239200.28,4640.57,0.0,50000,95680.11,0.0,17474.77,163154.88,80685.96,2024,0.0
144840.24,137608.06,7232.18,0.0,50000,55043.22,136305.2,13904.54,255252.96,0.0,2023,0.0
129540.98,119349.38,10191.6,0.0,50000,47739.75,95100.86,0.0,192840.61,0.0,2024,0.0
47418.41,43793.87,3624.54,0.0,50000,17517.55,0.0,4487.43,72004.98,0.0,2023,0.0
112098.29,102890.05,0.0,9208.24,50000,41156.02,8688.07,21310.37,121154.46,0.0,2023,0.0
43536.01,38286.88,0.0,5249.13,50000,15314.75,48541.53,19260.19,133116.47,0.0,2023,0.0
269662.28,269662.28,0.0,0.0,50000,100000.0,128131.47,0.0,278131.47,0.0,2023,0.0
120774.64,120774.64,0.0,0.0,50000,48309.85,130208.15,0.0,228518.0,0.0,2023,0.0
38050.31,38050.31,0.0,0.0,50000,15220.12,4670.11,0.0,69890.24,0.0,2024,0.0
50491.4,45506.9,0.0,4984.5,50000,18202.76,0.0,0.0,68202.76,0.0,2024,0.0
40070.49,28127.55,11942.93,0.0,50000,11251.02,119480.59,2932.7,183664.32,0.0,2022,0.0
35996.59,32665.68,3330.91,0.0,50000,13066.27,119633.87,11380.5,194080.64,0.0,2022,0.0
52133.97,52133.97,0.0,0.0,50000,20853.59,104247.28,0.0,175100.87,0.0,2023,0.0
79624.81,73599.8,0.0,6025.01,50000,29439.92,85635.68,12058.91,177134.51,0.0,2023,0.0
23928.06,23928.06,0.0,0.0,50000,9571.22,52594.04,1964.46,114129.73,0.0,2024,0.0
79064.33,47816.2,24420.14,6827.99,50000,19126.48,142732.5,22405.53,234264.51,0.0,2024,0.0
181047.73,181047.73,0.0,0.0,50000,72419.09,0.0,0.0,122419.09,58628.64,2024,0.0
143086.98,143086.98,0.0,0.0,50000,57234.79,89621.38,0.0,196856.17,0.0,2023,0.0
58730.6,58730.6,0.0,0.0,50000,23492.24,97544.13,15393.55,186429.92,0.0,2022,0.0
28858.03,11833.27,17024.76,0.0,50000,4733.31,107880.27,24908.35,187521.92,0.0,2022,0.0
30494.5,30494.5,0.0,0.0,50000,12197.8,30536.74,0.0,92734.54,0.0,2022,0.0
82403.11,82403.11,0.0,0.0,50000,32961.25,55655.81,0.0,138617.06,0.0,2023,0.0
71650.93,71650.93,0.0,0.0,50000,28660.37,131013.49,0.0,209673.86,0.0,2023,0.0
29420.04,29420.04,0.0,0.0,50000,11768.02,0.0,19400.01,81168.02,0.0,2023,0.0
39640.23,38551.72,0.0,1088.51,50000,15420.69,0.0,6180.78,71601.46,0.0,2024,0.0
140073.31,140073.31,0.0,0.0,50000,56029.32,58662.23,0.0,164691.55,0.0,2024,0.0
22101.2,22101.2,0.0,0.0,50000,8840.48,35554.18,22092.74,116487.4,0.0,2022,0.0
35375.75,35375.75,0.0,0.0,50000,14150.3,37307.14,0.0,101457.44,0.0,2022,0.0
90810.62,90810.62,0.0,0.0,50000,36324.25,117268.55,0.0,203592.8,0.0,2023,0.0
59407.94,52629.56,5473.88,1304.5,50000,21051.82,140490.85,3052.75,214595.43,0.0,2022,0.0
119637.17,56130.06,63507.11,0.0,50000,22452.02,102895.16,8078.27,183425.45,0.0,2022,0.0
53805.78,53805.78,0.0,0.0,50000,21522.31,20947.69,7698.25,100168.25,0.0,2023,0.0
98368.88,97754.95,0.0,613.93,50000,39101.98,66562.53,0.0,155664.51,0.0,2024,0.0
28746.52,28746.52,0.0,0.0,50000,11498.61,36622.09,0.0,98120.7,0.0,2024,0.0
89824.46,89824.46,0.0,0.0,50000,35929.78,32351.27,0.0,118281.06,0.0,2023,0.0
24195.87,23930.85,0.0,265.02,50000,9572.34,0.0,0.0,59572.34,0.0,2022,0.0
78627.75,78627.75,0.0,0.0,50000,31451.1,49054.97,0.0,130506.08,0.0,2023,0.0
112636.38,112636.38,0.0,0.0,50000,45054.55,49257.18,0.0,144311.74,0.0,2023,0.0
214401.15,214401.15,0.0,0.0,50000,85760.46,55987.77,1829.9,193578.13,20823.02,2024,0.0
85894.6,85894.6,0.0,0.0,50000,34357.84,142721.78,0.0,227079.62,0.0,2022,0.0
66287.09,64323.9,1963.19,0.0,50000,25729.56,82412.14,0.0,158141.7,0.0,2022,0.0
262930.39,256946.79,5983.6,0.0,50000,100000.0,140165.4,2535.52,292700.92,0.0,2022,0.0
86626.2,86626.2,0.0,0.0,50000,34650.48,87139.81,17940.89,189731.18,0.0,2023,0.0
38854.26,36950.75,1206.92,696.59,50000,14780.3,106356.94,14182.81,185320.04,0.0,2023,0.0
74432.43,53365.69,21066.74,0.0,50000,21346.28,78974.88,64.6,150385.76,0.0,2022,0.0
362349.25,362349.25,0.0,0.0,50000,100000.0,54115.88,0.0,204115.88,158233.38,2024,0.0
200331.74,200331.74,0.0,0.0,50000,80132.7,0.0,16688.75,146821.44,53510.3,2022,0.0
38365.88,32028.64,0.0,6337.24,50000,12811.46,80303.72,7806.79,150921.97,0.0,2024,0.0
244450.02,129456.9,114993.12,0.0,50000,51782.76,74515.03,0.0,176297.79,68152.23,2024,0.0
32278.5,32278.5,0.0,0.0,50000,12911.4,0.0,8527.25,71438.65,0.0,2023,0.0
156882.82,156882.82,0.0,0.0,50000,62753.13,12848.74,0.0,125601.86,31280.95,2024,0.0
26587.45,26587.45,0.0,0.0,50000,10634.98,124779.47,0.0,185414.45,0.0,2023,0.0
36993.23,36993.23,0.0,0.0,50000,14797.29,68528.8,1308.47,134634.56,0.0,2024,0.0
20666.83,20666.83,0.0,0.0,50000,8266.73,84344.52,0.0,142611.26,0.0,2022,0.0
29918.2,28665.83,1252.37,0.0,50000,11466.33,45127.97,0.0,106594.3,0.0,2024,0.0
24987.97,24987.97,0.0,0.0,50000,9995.19,126304.99,0.0,186300.18,0.0,2023,0.0
114764.47,114764.47,0.0,0.0,50000,45905.79,23895.6,2941.23,122742.62,0.0,2024,0.0
33567.15,31927.04,1640.11,0.0,50000,12770.81,45828.65,11180.06,119779.52,0.0,2024,0.0
439942.63,439942.63,0.0,0.0,50000,100000.0,58656.41,0.0,208656.41,231286.22,2022,0.0
9554.99,9554.99,0.0,0.0,50000,3822.0,0.0,0.0,53822.0,0.0,2022,0.0
133961.13,132406.75,0.0,1554.38,50000,52962.7,0.0,0.0,102962.7,30998.43,2023,0.0
50005.22,50005.22,0.0,0.0,50000,20002.09,90937.94,0.0,160940.03,0.0,2022,0.0
75322.48,75322.48,0.0,0.0,50000,30128.99,71735.1,0.0,151864.1,0.0,2024,0.0
62650.06,62650.06,0.0,0.0,50000,25060.02,75921.28,2641.62,153622.92,0.0,2023,0.0
15912.4,15912.4,0.0,0.0,50000,6364.96,31763.3,18856.34,106984.6,0.0,2024,0.0
43091.07,38142.36,4948.71,0.0,50000,15256.94,103824.2,12735.55,181816.7,0.0,2023,0.0
126695.57,124237.23,0.0,2458.33,50000,49694.89,55163.9,20688.45,175547.24,0.0,2022,0.0
114087.6,83664.1,7171.15,23252.35,50000,33465.64,102146.22,15473.7,201085.57,0.0,2022,0.0
75383.94,59145.28,16238.66,0.0,50000,23658.11,126653.56,12206.03,212517.7,0.0,2023,0.0
29500.36,29500.36,0.0,0.0,50000,11800.14,68917.02,0.0,130717.16,0.0,2022,0.0
142429.9,137574.9,0.0,4855.0,50000,55029.96,117175.56,0.0,222205.52,0.0,2024,0.0
108410.07,108410.07,0.0,0.0,50000,43364.03,77761.2,18435.84,189561.08,0.0,2022,0.0
44319.14,36920.74,7398.4,0.0,50000,14768.3,120319.58,889.27,185977.15,0.0,2024,0.0
103685.12,69467.48,34217.64,0.0,50000,27786.99,26116.4,16507.57,120410.96,0.0,2023,0.0
97314.66,97314.66,0.0,0.0,50000,38925.86,92251.95,0.0,181177.81,0.0,2022,0.0
58587.3,58587.3,0.0,0.0,50000,23434.92,71150.42,12150.39,156735.72,0.0,2024,0.0
414332.52,396688.55,13435.17,4208.8,50000,100000.0,56398.93,0.0,206398.93,207933.59,2023,0.0
108944.73,95182.75,9674.41,4087.57,50000,38073.1,42886.02,0.0,130959.12,0.0,2024,0.0
45252.69,45252.69,0.0,0.0,50000,18101.08,146759.59,0.0,214860.67,0.0,2023,0.0
134882.29,101753.15,33129.14,0.0,50000,40701.26,0.0,0.0,90701.26,44181.03,2024,0.0
35557.79,35557.79,0.0,0.0,50000,14223.12,51357.55,18954.63,134535.29,0.0,2023,0.0
188753.58,188753.58,0.0,0.0,50000,75501.43,0.0,0.0,125501.43,63252.15,2023,0.0
87769.73,87769.73,0.0,0.0,50000,35107.89,0.0,0.0,85107.89,2661.84,2023,0.0
36436.41,36436.41,0.0,0.0,50000,14574.56,0.0,0.0,64574.56,0.0,2022,0.0
127536.13,127536.13,0.0,0.0,50000,51014.45,0.0,0.0,101014.45,26521.68,2024,0.0
113350.73,113350.73,0.0,0.0,50000,45340.29,75307.53,9634.4,180282.22,0.0,2023,0.0
98245.99,98245.99,0.0,0.0,50000,39298.4,104342.72,15489.73,209130.85,0.0,2022,0.0
37858.16,37858.16,0.0,0.0,50000,15143.26,9728.04,0.0,74871.3,0.0,2023,0.0
270842.22,270842.22,0.0,0.0,50000,100000.0,3439.92,15912.27,169352.19,101490.03,2023,0.0
31134.13,31134.13,0.0,0.0,50000,12453.65,0.0,0.0,62453.65,0.0,2022,0.0
53107.0,46982.27,0.0,6124.73,50000,18792.91,0.0,0.0,68792.91,0.0,2023,0.0
26387.63,26387.63,0.0,0.0,50000,10555.05,61485.73,0.0,122040.78,0.0,2024,0.0
76723.52,76345.49,0.0,378.03,50000,30538.2,0.0,0.0,80538.2,0.0,2024,0.0
135775.98,107787.27,27988.72,0.0,50000,43114.91,120396.5,12074.22,225585.62,0.0,2023,0.0
40562.3,40562.3,0.0,0.0,50000,16224.92,0.0,1432.01,67656.93,0.0,2023,0.0
26937.96,26937.96,0.0,0.0,50000,10775.18,0.0,1426.37,62201.55,0.0,2023,0.0
121669.56,121669.56,0.0,0.0,50000,48667.83,126718.42,3909.55,229295.79,0.0,2024,0.0
64946.26,64946.26,0.0,0.0,50000,25978.5,0.0,16594.74,92573.25,0.0,2024,0.0
48692.46,48692.46,0.0,0.0,50000,19476.98,74172.17,0.0,143649.15,0.0,2022,0.0
24629.01,24629.01,0.0,0.0,50000,9851.6,0.0,0.0,59851.6,0.0,2022,0.0
94082.34,36832.04,57250.29,0.0,50000,14732.82,147077.52,10099.45,221909.79,0.0,2022,0.0
71413.93,70817.01,0.0,596.93,50000,28326.8,141854.72,0.0,220181.53,0.0,2023,0.0
226969.91,221045.09,5924.82,0.0,50000,88418.04,53396.01,0.0,191814.04,35155.87,2024,0.0
192122.19,192122.19,0.0,0.0,50000,76848.88,0.0,0.0,126848.88,65273.31,2023,0.0
98334.36,86473.89,11860.47,0.0,50000,34589.56,9780.69,22730.51,117100.75,0.0,2022,0.0
164664.06,164664.06,0.0,0.0,50000,65865.63,14011.2,4890.23,134767.05,29897.01,2023,0.0
48725.99,48725.99,0.0,0.0,50000,19490.4,96401.2,22423.95,188315.54,0.0,2023,0.0
88237.41,88237.41,0.0,0.0,50000,35294.96,0.0,0.0,85294.96,2942.44,2023,0.0
61632.24,61197.29,0.0,434.95,50000,24478.92,109895.29,0.0,184374.2,0.0,2023,0.0
46427.63,36230.87,10196.76,0.0,50000,14492.35,0.0,24602.76,89095.11,0.0,2022,0.0
28623.69,28623.69,0.0,0.0,50000,11449.47,19473.97,0.0,80923.44,0.0,2024,0.0
255454.84,251283.75,0.0,4171.09,50000,100000.0,0.0,21454.43,171454.43,84000.42,2024,0.0
171798.58,171798.58,0.0,0.0,50000,68719.43,0.0,0.0,118719.43,53079.15,2023,0.0
30581.17,30581.17,0.0,0.0,50000,12232.47,106802.1,0.0,169034.57,0.0,2023,0.0
44646.91,44646.91,0.0,0.0,50000,17858.77,0.0,0.0,67858.77,0.0,2022,0.0
161956.38,161956.38,0.0,0.0,50000,64782.55,4667.34,0.0,119449.89,42506.49,2024,0.0
39880.31,34878.67,5001.63,0.0,50000,13951.47,96432.29,0.0,160383.76,0.0,2022,0.0
39085.9,37194.59,1891.31,0.0,50000,14877.84,113887.31,0.0,178765.15,0.0,2022,0.0
37223.38,37223.38,0.0,0.0,50000,14889.35,0.0,4227.03,69116.38,0.0,2023,0.0
19102.52,19102.52,0.0,0.0,50000,7641.01,146520.05,10563.71,214724.77,0.0,2022,0.0
94148.61,83897.2,10251.4,0.0,50000,33558.88,144421.55,0.0,227980.44,0.0,2024,0.0
94418.05,94418.05,0.0,0.0,50000,37767.22,18037.08,6582.89,112387.2,0.0,2022,0.0
58951.14,58951.14,0.0,0.0,50000,23580.46,44987.87,0.0,118568.32,0.0,2024,0.0
166849.05,128058.96,0.0,38790.09,50000,51223.58,35926.53,0.0,137150.11,29698.94,2023,0.0
41205.1,41205.1,0.0,0.0,50000,16482.04,124706.03,0.0,191188.07,0.0,2022,0.0
104414.41,100061.92,4352.5,0.0,50000,40024.77,20628.57,4120.62,114773.95,0.0,2023,0.0
217471.4,217471.4,0.0,0.0,50000,86988.56,76854.57,9612.78,223455.91,0.0,2022,0.0
50710.85,50710.85,0.0,0.0,50000,20284.34,133722.0,994.15,205000.49,0.0,2023,0.0
50881.33,50203.71,677.61,0.0,50000,20081.49,31048.89,0.0,101130.37,0.0,2022,0.0
32802.99,32802.99,0.0,0.0,50000,13121.2,6658.17,20417.05,90196.42,0.0,2022,0.0
37788.81,37788.81,0.0,0.0,50000,15115.52,0.0,17556.47,82671.99,0.0,2024,0.0
17836.97,17836.97,0.0,0.0,50000,7134.79,0.0,0.0,57134.79,0.0,2024,0.0
38797.15,38797.15,0.0,0.0,50000,15518.86,0.0,17939.3,83458.16,0.0,2023,0.0
94904.26,94904.26,0.0,0.0,50000,37961.7,89448.23,0.0,177409.93,0.0,2024,0.0
118931.92,118931.92,0.0,0.0,50000,47572.77,101800.49,14841.52,214214.78,0.0,2024,0.0
110416.89,109880.74,0.0,536.15,50000,43952.3,63305.14,12150.01,169407.45,0.0,2022,0.0
113391.68,113391.68,0.0,0.0,50000,45356.67,122508.48,9684.81,227549.97,0.0,2024,0.0
264285.8,260973.38,3312.41,0.0,50000,100000.0,0.0,19959.51,169959.51,94326.29,2024,0.0
75717.82,73736.81,0.0,1981.0,50000,29494.73,78871.89,0.0,158366.62,0.0,2022,0.0
43331.12,43331.12,0.0,0.0,50000,17332.45,77585.91,167.76,145086.12,0.0,2024,0.0
